german,french,rumantsch,italian,english,canton,postal code
Sankt Antönien,,S. Antönia,,,GR,7246
Sankt Benedikt,,Sogn Benedetg,,,GR,7174
Sankt Bernhardin,Saint-Bernardin,San Bernardin,San Bernardino,,GR,6565
Sankt Blasien,Saint-Blaise,,,,NE,2072
Sankt Brancher,Sembrancher,,,,VS,1933
Sankt Brix,Saint-Brais,,,,JU,2874
Sankt Gallen,Saint-Gall,Son Gagl,San Gallo,,SG,9000
Sankt Gotthard,Saint-Gothard,Son Gottard,San Gottardo,,TI,6781
Sankt Immer,Saint-Imier,,,,BE,2610
Sankt Jakob an der Birs,Saint-Jacques-sur-la Birse,,,,BL,4142
Sankt Johann,,Son Gions,,,GR,7185
Sankt Johannsen,Saint-Jean,,,,BE,2525
Sankt Jörg,Corminboeuf,,,,FR,1720
Sankt Joseph,,Son Giusep,,,GR,7149
Sankt Leodegar,Saignelégier,,,,JU,2350
Sankt Leonhard,Saint-Léonard,,,,VS,1958
Sankt Martin (Lugnez),,S. Martin (Lumnezia),,,GR,7116
Sankt Moritz,Saint-Maurice,,,,VS,1890
Sankt Moritz,Saint-Moritz,San Murezzan,San Maurizio,,GR,7500
Sankt Moritz Bad,Saint-Moritz-les-Bains,San Murezzan Bagn,San Maurizio Bagno,,GR,7500
Sankt Niklaus,Saint-Nicolas,,,,VS,3924
Sankt Nikolaus,,San Niclà,,,GR,7559
Sankt Peter,,S. Peider,,,GR,7028
Sankt Petersburg,Bourg-Saint-Pierre,,,,VS,1946
Sankt Petersinsel,Île de Saint-Pierre,,,,BE,3235
Sankt Stephan,Saint-Etienne,,,,BE,3772
Sankt Ursen,Saint-Ours,,,,FR,1717
Sankt Ursitz,Saint-Ursanne,,,,JU,2882
Saugern,Soyhières,,,,JU,2805
Scanfs,,S-chanf,,,GR,7525
Schaffhausen,Schaffhouse,Schaffusa,Sciaffusa,,SH,8200
Schafis,Chavannes,,,,BE,2514
Schafmatten,Les Avants,,,,VD,1833
Scharans,,Scharons,,,GR,7412
Schärlingen,Echarlens,,,,FR,1646
Scheid,,Sched,,,GR,7419
Schelten,La Scheulte,,,,BE,2827
Schernelz,Cerniaux,,,,BE,2514
Scherwil,Serville,,,,FR,1634
Schiers,,Aschera,,,GR,7220
Schleins,,Tschlin,,,GR,7559
Schleuis,,Schluein,,,GR,7151
Schmitten,,Ferrera,,,GR,7493
Schönfels,Belleroche,,,,FR,1714
Schuders,,Scuders,,,GR,7228
Schuls,,Scuol,,,GR,7550
Schwarzenberg,"Noirmont, Le",,,,JU,2340
Schwarzsee,Lac-Noir,,,,FR,1711
Schwarzwasser,Neirivue,,,,FR,1668
Schweiningen,,Savognin,Savognino,,GR,7460
Schwende,Choindez,,,,JU,2830
Schwyz,Schwytz,Sviz,Svitto,,SZ,6430
Scubilingen,Ecublens,,,,FR,1503
Seehof,Elay,,,,BE,2747
Seewis im Oberland,,Sevgein,,,GR,7127
Seewis im Prättigau,,Sievgia en il Partenz,,,GR,7212
Segnes,,Segnas,,,GR,7186
Seth,,Siat,,,GR,7157
Siders,Sierre,Sierre,,,VS,3960
Siebenzach,Givisiez,,,,FR,1762
Sils im Bergell,Soglio,,,,GR,7610
Sils im Domleschg,,Seglias,,,GR,7411
Sils im Engadin,,Segl Baselgia,,,GR,7515
Sils im Engadin,,Segl Maria,,,GR,7514
Silvaplana,,Silvaplauna,,,GR,7513
Simpeln,Simplon,,Sempione,,VS,3907
Sins,,Sent,,,GR,7554
Siselen,Zezèle,,,,BE,2577
Sitten,Sion,,,,VS,1950
Solis,,Solas,,,GR,7450
Sollendorf,Courcelon,,,,JU,2823
Solothurn,Soleure,Soloturn,Soletta,,SO,4500
Somvix,,Sumvitg,,,GR,7175
Sonnenberg,Mont-Soleil,,,,BE,2610
"Soring, Schoringen",Sorens,,,,FR,1642
Sornethal,Sornetan,,,,BE,2716
Spaniz,Epagnier,,,,NE,2074
Spiegelberg,Muriaux,,,,JU,2350
Spinas,,Spignas,,,GR,7502
Spinz,Ependes,,,,FR,1731
Splügen,,Spleia,Spluga,,GR,7435
Stäffis am Gibel,Estavayer-le-Gibloux,,,,FR,1743
Stäffis am See,Estavayer-le-Lac,,,,FR,1470
Stauden,,Calgias,,,GR,7424
Steffisburg,Steffisbourg,,,,BE,3612
Stein am Rhein,Stein-sur-le-Rhin,,,,SH,8260
Steinsberg,,Ardez,,,GR,7546
Stuls,,Stugl,,,GR,7482
Stürvis,,Stierva,,,GR,7459
Sufers,,Sur (Valragn),,,GR,7434
Sulsanna,,Susauna,,,GR,7526
Sulz,Soulce,,,,JU,2864
Sur,,Sour,,,GR,7456
Surbelen,Sorvilier,,,,BE,2736
Surrhein,,Surrein,,,GR,7173
Süs,,Susch,,,GR,7542
Susten,,La Souste,,,VS,3952
Tafers,Tavel,,,,FR,1712
Tamins,,Tumein,,,GR,7015
Tavetsch,,Tujetsch,,,GR,7188
Tenigerbad,,Bogn Teniga,,,GR,7175
Tentlingen,Tinterin,,,,FR,1734
Termen,Thermen,,,,VS,3912
Tess,Diesse,,,,BE,2817
Thalbach,Vaulruz,,,,FR,1627
Thalheim an der Thur,,,,,ZH,8478
Thun,Thoune,,,,BE,3600
Thusis,,Tusaun,Tosanna,,GR,7430
Tiefenbach,Belprahon,,,,BE,2744
Tiefencastel,,Casti Alvra,Castello / Castino,,GR,7450
Tiefenthal,Prévondavaux,,,,FR,1516
Tiefmatt,La Bluai,,,,BE,2738
Tinzen,,Tinizong,,,GR,7453
Tomils,,Tumegl,,,GR,7418
Tramlingen,Tramelan,,,,BE,2720
Trans,,Tràn,,,GR,7417
Treffels,Treyvaux,,,,FR,1733
Treiten,Treiteron,,,,BE,3226
Trimmis,,Termin,,,GR,7203
Trins,,Trin,,,GR,7014
Trinsermühle,,Trin Mulin,,,GR,7016
Triquent,"Trétien, Le",,,,VS,1923
Truns,,Trun,,,GR,7166
Tschappina,,Tschupegna,,,GR,7428
Tscherlitz,Echallens,,,,FR,1040
Turtmann,Tourtemagne,,,,VS,3946
Tüscherz,Daucher,,,,BE,2512
Twann,Douanne,,,,BE,2513
Ueberstein,Surpierre,,,,FR,1528
Uebewil,Villars-les-Joncs,,,,FR,1700
Ulmiz,Ormey,,,,FR,3214
Unterschwiler,Undervelier,,,,JU,2863
Untertramlingen,Tramelan-Dessous,,,,BE,2720
Untervaz,,Vaz sut,,,GR,7204
Unterwistenlach,Bas-Vully,,,,FR,1788
